"Effect","DFn","DFd","F","p","significance","ges"
"group",1,13,13.104,"0.003","**",0.246
"comparison",5,65,7.517,"0","***",0.166
"script",1,13,17.367,"0.001","**",0.074
"group:comparison",5,65,1.996,"0.091","ns",0.05
"group:script",1,13,31.359,"0","***",0.127
"comparison:script",5,65,1.016,"0.416","ns",0.021
"group:comparison:script",5,65,1.441,"0.221","ns",0.029
