"","VWFA_FR","VWFA_BR","lLO_FR","lLO_BR","rLO_FR","rLO_BR"
"VWFA_FR",1,0.0452795778305774,0.44831218732622,-0.0998134140792076,0.546393881529507,-0.00975760349210079
"VWFA_BR",0.0452795778305774,1,0.27983910246716,0.126534628640784,0.428162824162249,0.346017099528434
"lLO_FR",0.44831218732622,0.27983910246716,1,-0.111122745209624,0.831408943754969,0.361108680995689
"lLO_BR",-0.0998134140792076,0.126534628640784,-0.111122745209624,1,-0.026092821352003,0.102479916304686
"rLO_FR",0.546393881529507,0.428162824162249,0.831408943754969,-0.026092821352003,1,0.332223614234797
"rLO_BR",-0.00975760349210079,0.346017099528434,0.361108680995689,0.102479916304686,0.332223614234797,1
