"subID","Group","frw_v_fpw","frw_v_fnw","frw_v_ffs","fpw_v_fnw","fpw_v_ffs","fnw_v_ffs","brw_v_bpw","brw_v_bnw","brw_v_bfs","bpw_v_bnw","bpw_v_bfs","bnw_v_bfs"
6,"experts",0.416666666666667,0.916666666666667,0.666666666666667,0.666666666666667,0.833333333333334,0.833333333333334,0.5,0.833333333333334,0.833333333333334,0.666666666666667,0.916666666666667,0.916666666666667
7,"experts",0.75,0.916666666666667,0.833333333333334,1,0.666666666666667,0.916666666666667,0.75,0.5,0.833333333333334,0.833333333333334,1,0.833333333333334
8,"experts",0.666666666666667,1,0.833333333333334,0.833333333333334,0.833333333333334,0.916666666666667,0.5,0.833333333333334,0.916666666666667,0.916666666666667,0.833333333333334,1
9,"experts",0.583333333333333,0.833333333333334,0.666666666666667,0.583333333333333,0.833333333333334,0.833333333333334,0.416666666666667,0.833333333333334,1,0.75,0.916666666666667,1
10,"novices",0.666666666666667,1,0.833333333333334,0.916666666666667,0.75,1,0.5,0.666666666666667,0.5,0.416666666666667,0.75,0.75
11,"novices",0.333333333333333,0.833333333333334,0.833333333333334,0.916666666666667,0.75,0.666666666666667,0.666666666666667,0.333333333333333,0.583333333333334,0.5,0.416666666666667,0.75
13,"experts",0.583333333333333,0.916666666666667,0.833333333333334,0.833333333333334,0.916666666666667,0.833333333333334,0.833333333333334,1,0.833333333333334,1,0.916666666666667,0.75
18,"novices",0.833333333333334,0.666666666666667,0.833333333333334,0.416666666666667,0.916666666666667,1,0.416666666666667,0.5,0.666666666666667,0.416666666666667,0.416666666666667,0.416666666666667
19,"novices",0.916666666666667,0.833333333333334,0.75,0.666666666666667,0.833333333333334,0.833333333333334,0.5,0.75,0.5,0.333333333333333,0.5,0.75
20,"novices",0.583333333333333,0.75,0.583333333333333,0.416666666666667,0.583333333333333,0.833333333333334,0.5,0.333333333333333,0.416666666666667,0.416666666666667,0.416666666666667,0.666666666666667
21,"novices",0.666666666666667,0.916666666666667,0.916666666666667,0.916666666666667,0.916666666666667,0.75,0.666666666666667,0.5,0.666666666666667,0.333333333333333,0.916666666666667,0.75
23,"novices",0.5,0.5,0.666666666666667,0.416666666666667,0.25,0.25,0.583333333333334,0.416666666666667,0.5,0.416666666666667,0.25,0.25
24,"novices",0.333333333333333,0.5,0.916666666666667,0.5,0.833333333333334,0.75,0.416666666666667,0.5,0.333333333333333,0.583333333333333,0.5,0.666666666666667
27,"novices",0.75,0.916666666666667,0.833333333333334,0.916666666666667,0.916666666666667,0.916666666666667,0.583333333333333,0.583333333333333,0.416666666666667,0.666666666666667,0.75,0.75
28,"novices",0.583333333333334,0.5,1,0.666666666666667,0.833333333333334,0.833333333333334,0.25,0.333333333333333,0.583333333333333,0.25,0.583333333333333,0.666666666666667
