subID,group,frw_v_fpw,frw_v_fnw,frw_v_ffs,fpw_v_fnw,fpw_v_ffs,fnw_v_ffs,brw_v_bpw,brw_v_bnw,brw_v_bfs,bpw_v_bnw,bpw_v_bfs,bnw_v_bfs
6,0,0.833333333333334,0.75,0.916666666666667,0.583333333333333,1,1,0.416666666666667,0.833333333333334,0.75,0.75,0.666666666666667,0.833333333333334
7,0,0.75,0.75,0.833333333333334,0.25,0.833333333333334,0.75,0.333333333333333,0.416666666666667,0.833333333333334,0.75,1,0.75
8,0,0.75,0.916666666666667,1,0.416666666666667,0.583333333333333,0.833333333333334,0.5,0.666666666666667,0.833333333333334,0.666666666666667,0.916666666666667,0.75
9,0,0.5,1,1,0.416666666666667,0.916666666666667,0.75,0.416666666666667,0.75,0.75,0.666666666666667,0.666666666666667,0.5
12,0,0.25,0.5,0.666666666666667,0.583333333333333,0.583333333333333,0.583333333333333,0.416666666666667,0.583333333333334,0.833333333333334,0.583333333333334,0.833333333333334,0.833333333333334
13,0,0.333333333333333,0.833333333333334,0.833333333333334,0.666666666666667,0.75,0.666666666666667,0.75,0.916666666666667,0.833333333333334,0.833333333333334,1,0.833333333333334
10,1,0.5,1,1,0.916666666666667,0.833333333333334,0.916666666666667,0.75,0.583333333333333,0.5,0.75,0.416666666666667,0.333333333333333
11,1,0.75,0.666666666666667,0.666666666666667,0.583333333333333,0.666666666666667,0.583333333333333,0.583333333333334,0.583333333333333,0.666666666666667,0.583333333333333,0.25,0.583333333333333
18,1,0.333333333333333,0.5,0.833333333333334,0.583333333333333,0.75,0.75,0.5,0.583333333333333,0.5,0.666666666666667,0.583333333333333,0.583333333333334
19,1,0.583333333333333,0.75,0.666666666666667,0.416666666666667,0.75,0.833333333333334,0.333333333333333,0.416666666666667,0.5,0.25,0.416666666666667,0.5
20,1,0.5,0.75,0.833333333333334,0.5,0.75,0.75,0.333333333333333,0.333333333333333,0.5,0.5,0.583333333333333,0.583333333333333
21,1,0.583333333333333,0.916666666666667,1,0.833333333333334,1,0.916666666666667,0.583333333333333,0.416666666666667,0.333333333333333,0.5,0.416666666666667,0.416666666666667
22,1,0.666666666666667,0.75,0.833333333333334,0.5,0.666666666666667,0.666666666666667,0.583333333333333,0.5,0.583333333333334,0.5,0.583333333333333,0.75
23,1,0.583333333333334,0.333333333333333,0.583333333333334,0.416666666666667,0.75,0.416666666666667,0.416666666666667,0.5,0.583333333333333,0.333333333333333,0.333333333333333,0.166666666666667
26,1,0.5,0.583333333333333,0.666666666666667,0.666666666666667,0.416666666666667,0.75,0.333333333333333,0.333333333333333,0.5,0.416666666666667,0.666666666666667,0.5
27,1,0.583333333333333,0.666666666666667,0.583333333333333,0.583333333333333,0.5,0.583333333333333,0.416666666666667,0.5,0.666666666666667,0.666666666666667,0.75,0.5
28,1,0.666666666666667,0.75,0.916666666666667,0.5,0.916666666666667,0.833333333333334,0.25,0.583333333333334,0.583333333333333,0.75,0.5,0.75
