subject,script,hemi,area,done,voxels,enough
sub-013,french,R,PosTemp,created,140,1
sub-018,french,L,AngG,created,1,0
sub-018,french,L,AntTemp,created,83,1
sub-018,french,L,IFG,created,93,1
sub-018,french,L,IFGorb,created,40,0
sub-018,french,L,MFG,created,74,0
sub-018,french,L,PosTemp,created,107,1
sub-018,french,R,AngG,created,37,0
sub-018,french,R,AntTemp,created,105,1
sub-018,french,R,IFG,created,91,1
sub-018,french,R,IFGorb,created,67,0
sub-018,french,R,MFG,created,11,0
sub-018,french,R,PosTemp,created,322,1
sub-019,french,L,AngG,created,190,1
sub-019,french,L,AntTemp,created,127,1
sub-019,french,L,IFG,created,213,1
sub-019,french,L,IFGorb,created,58,0
sub-019,french,L,MFG,created,77,0
sub-019,french,L,PosTemp,created,439,1
sub-019,french,R,AngG,created,173,1
sub-019,french,R,AntTemp,created,50,0
sub-019,french,R,IFG,created,1,0
sub-019,french,R,IFGorb,skipped,0,0
sub-019,french,R,MFG,skipped,0,0
sub-019,french,R,PosTemp,created,253,1
sub-020,french,L,AngG,created,177,1
sub-020,french,L,AntTemp,created,55,0
sub-020,french,L,IFG,created,172,1
sub-020,french,L,IFGorb,created,53,0
sub-020,french,L,MFG,created,71,0
sub-020,french,L,PosTemp,created,339,1
sub-020,french,R,AngG,created,74,0
sub-020,french,R,AntTemp,created,205,1
sub-020,french,R,IFG,skipped,0,0
sub-020,french,R,IFGorb,created,2,0
sub-020,french,R,MFG,skipped,0,0
sub-020,french,R,PosTemp,created,436,1
sub-021,french,L,AngG,created,50,0
sub-021,french,L,AntTemp,created,131,1
sub-021,french,L,IFG,created,98,1
sub-021,french,L,IFGorb,created,52,0
sub-021,french,L,MFG,created,73,0
sub-021,french,L,PosTemp,created,563,1
sub-021,french,R,AngG,skipped,0,0
sub-021,french,R,AntTemp,created,63,0
sub-021,french,R,IFG,created,3,0
sub-021,french,R,IFGorb,skipped,0,0
sub-021,french,R,MFG,created,1,0
sub-021,french,R,PosTemp,created,372,1
sub-022,french,L,AngG,created,51,0
sub-022,french,L,AntTemp,skipped,0,0
sub-022,french,L,IFG,created,81,1
sub-022,french,L,IFGorb,created,10,0
sub-022,french,L,MFG,skipped,0,0
sub-022,french,L,PosTemp,created,282,1
sub-022,french,R,AngG,created,7,0
sub-022,french,R,AntTemp,skipped,0,0
sub-022,french,R,IFG,created,18,0
sub-022,french,R,IFGorb,skipped,0,0
sub-022,french,R,MFG,created,24,0
sub-022,french,R,PosTemp,created,159,1
sub-023,french,L,AngG,skipped,0,0
sub-023,french,L,AntTemp,created,32,0
sub-023,french,L,IFG,created,39,0
sub-023,french,L,IFGorb,created,2,0
sub-023,french,L,MFG,created,3,0
sub-023,french,L,PosTemp,created,63,0
sub-023,french,R,AngG,created,24,0
sub-023,french,R,AntTemp,created,14,0
sub-023,french,R,IFG,created,1,0
sub-023,french,R,IFGorb,created,3,0
sub-023,french,R,MFG,created,2,0
sub-023,french,R,PosTemp,created,11,0
sub-024,french,L,AngG,created,3,0
sub-024,french,L,AntTemp,created,10,0
sub-024,french,L,IFG,created,118,1
sub-024,french,L,IFGorb,created,11,0
sub-024,french,L,MFG,created,37,0
sub-024,french,L,PosTemp,created,110,1
sub-024,french,R,AngG,skipped,0,0
sub-024,french,R,AntTemp,skipped,0,0
sub-024,french,R,IFG,created,38,0
sub-024,french,R,IFGorb,skipped,0,0
sub-024,french,R,MFG,created,4,0
sub-024,french,R,PosTemp,created,3,0
sub-026,french,L,AngG,skipped,0,0
sub-026,french,L,AntTemp,skipped,0,0
sub-026,french,L,IFG,created,9,0
sub-026,french,L,IFGorb,skipped,0,0
sub-026,french,L,MFG,created,14,0
sub-026,french,L,PosTemp,created,20,0
sub-026,french,R,AngG,skipped,0,0
sub-026,french,R,AntTemp,skipped,0,0
sub-026,french,R,IFG,created,32,0
sub-026,french,R,IFGorb,skipped,0,0
sub-026,french,R,MFG,created,6,0
sub-026,french,R,PosTemp,created,71,0
sub-027,french,L,AngG,created,26,0
sub-027,french,L,AntTemp,created,32,0
sub-027,french,L,IFG,created,213,1
sub-027,french,L,IFGorb,created,48,0
sub-027,french,L,MFG,created,56,0
sub-027,french,L,PosTemp,created,605,1
sub-027,french,R,AngG,created,178,1
sub-027,french,R,AntTemp,created,126,1
sub-027,french,R,IFG,created,201,1
sub-027,french,R,IFGorb,skipped,0,0
sub-027,french,R,MFG,created,63,0
sub-027,french,R,PosTemp,created,513,1
