subject,script,hemi,area,done,voxels,enough
sub-021,french,L,IFGorb,created,52,0
sub-021,french,L,MFG,created,74,0
sub-021,french,L,PosTemp,created,561,1
sub-021,french,R,AngG,skipped,0,0
sub-021,french,R,AntTemp,created,65,0
sub-021,french,R,IFG,created,3,0
sub-021,french,R,IFGorb,skipped,0,0
sub-021,french,R,MFG,created,2,0
sub-021,french,R,PosTemp,created,383,1
sub-022,french,L,AngG,created,51,0
sub-022,french,L,AntTemp,skipped,0,0
sub-022,french,L,IFG,created,83,1
sub-022,french,L,IFGorb,created,10,0
sub-022,french,L,MFG,skipped,0,0
sub-022,french,L,PosTemp,created,282,1
sub-022,french,R,AngG,created,8,0
sub-022,french,R,AntTemp,skipped,0,0
sub-022,french,R,IFG,created,18,0
sub-022,french,R,IFGorb,skipped,0,0
sub-022,french,R,MFG,created,24,0
sub-022,french,R,PosTemp,created,160,1
sub-023,french,L,AngG,skipped,0,0
sub-023,french,L,AntTemp,created,29,0
sub-023,french,L,IFG,created,37,0
sub-023,french,L,IFGorb,created,2,0
sub-023,french,L,MFG,created,3,0
sub-023,french,L,PosTemp,created,62,0
sub-023,french,R,AngG,created,26,0
sub-023,french,R,AntTemp,created,12,0
sub-023,french,R,IFG,created,1,0
sub-023,french,R,IFGorb,created,3,0
sub-023,french,R,MFG,created,1,0
sub-023,french,R,PosTemp,created,11,0
sub-024,french,L,AngG,created,3,0
sub-024,french,L,AntTemp,created,10,0
sub-024,french,L,IFG,created,116,1
sub-024,french,L,IFGorb,created,11,0
sub-024,french,L,MFG,created,35,0
sub-024,french,L,PosTemp,created,115,1
sub-024,french,R,AngG,skipped,0,0
sub-024,french,R,AntTemp,skipped,0,0
sub-024,french,R,IFG,created,38,0
sub-024,french,R,IFGorb,skipped,0,0
sub-024,french,R,MFG,created,4,0
sub-024,french,R,PosTemp,created,3,0
sub-026,french,L,AngG,skipped,0,0
sub-026,french,L,AntTemp,skipped,0,0
sub-026,french,L,IFG,created,9,0
sub-026,french,L,IFGorb,skipped,0,0
sub-026,french,L,MFG,created,17,0
sub-026,french,L,PosTemp,created,21,0
sub-026,french,R,AngG,skipped,0,0
sub-026,french,R,AntTemp,skipped,0,0
sub-026,french,R,IFG,created,35,0
sub-026,french,R,IFGorb,skipped,0,0
sub-026,french,R,MFG,created,9,0
sub-026,french,R,PosTemp,created,75,0
sub-027,french,L,AngG,created,26,0
sub-027,french,L,AntTemp,created,31,0
sub-027,french,L,IFG,created,213,1
sub-027,french,L,IFGorb,created,48,0
sub-027,french,L,MFG,created,54,0
sub-027,french,L,PosTemp,created,602,1
sub-027,french,R,AngG,created,179,1
sub-027,french,R,AntTemp,created,126,1
sub-027,french,R,IFG,created,198,1
sub-027,french,R,IFGorb,skipped,0,0
sub-027,french,R,MFG,created,62,0
sub-027,french,R,PosTemp,created,509,1
sub-028,french,L,AngG,created,215,1
sub-028,french,L,AntTemp,created,90,1
sub-028,french,L,IFG,created,114,1
sub-028,french,L,IFGorb,created,29,0
sub-028,french,L,MFG,skipped,0,0
sub-028,french,L,PosTemp,created,562,1
sub-028,french,R,AngG,created,94,1
sub-028,french,R,AntTemp,created,38,0
sub-028,french,R,IFG,created,29,0
sub-028,french,R,IFGorb,created,10,0
sub-028,french,R,MFG,skipped,0,0
sub-028,french,R,PosTemp,created,255,1
