"g1name","g1accuracy","g2name","g2accuracy","ttest","cohen","df","pvalUncorr","pvalFDR"
"french_experts","0.558333333333333","braille_experts","0.608333333333333","-1.12390297389803","-0.636699169554824","4","0.323940830991844","0.404926038739805"
"french_experts","0.558333333333333","french_controls","0.55","0.128505881063435","0.0561724114296797","12.9977524484212","0.899715749555103","0.899715749555103"
"french_experts","0.558333333333333","braille_controls","0.266666666666667","5.89738754116817","2.94191966313627","10.3824953434376","0.000130508991364629","0.000426195872287081"
"braille_experts","0.608333333333333","french_controls","0.55","0.918705142445591","0.395614782978411","12.9664365247236","0.375023812544886","0.416693125049874"
"braille_experts","0.608333333333333","braille_controls","0.266666666666667","7.1674135250012","3.49404921091106","11.0042724838471","1.8235212880344e-05","0.00018235212880344"
"french_controls","0.55","braille_controls","0.266666666666667","6.46398735534967","1.87374207883807","9","0.000116226815733985","0.000426195872287081"
"french_experts","0.558333333333333","one-sample",NA,"8.48838215321078","3.79611990271507","4","0.000528043991895136","0.000880073319825227"
"braille_experts","0.608333333333333","one-sample",NA,"10.5858682242226","4.73414419004335","4","0.000225325476209466","0.000450650952418932"
"french_controls","0.55","one-sample",NA,"5.5845470519462","1.76598883845287","9","0.000170478348914832","0.000426195872287081"
"braille_controls","0.266666666666667","one-sample",NA,"0.49656353316142","0.157027176777064","9","0.315699479485314","0.404926038739805"
