"g1name","g1accuracy","g2name","g2accuracy","ttest","cohen","df","pvalUncorr","pvalFDR"
"french_experts","0.800925925925926","braille_experts","0.643518518518519","3.26560968918002","1.91397947598222","5","0.0223066684885135","0.031866669269305"
"french_experts","0.800925925925926","french_controls","0.752777777777778","1.05077311171294","0.53090056425675","11.4003543126733","0.31512696970982","0.31512696970982"
"french_experts","0.800925925925926","braille_controls","0.520833333333333","7.38849499659373","4.44761917751457","6.71703210847237","0.000184580016333244","0.000461450040833111"
"braille_experts","0.643518518518519","french_controls","0.752777777777778","-2.51063829787234","-1.23838637677785","12.2038094380629","0.0270885963420649","0.0338607454275812"
"braille_experts","0.643518518518519","braille_controls","0.520833333333333","3.49623694261713","2.06637944135555","7.06269409792515","0.00990134885040257","0.0165022480840043"
"french_controls","0.752777777777778","braille_controls","0.520833333333333","8.82759425700717","2.91467163373029","9","9.99897837467421e-06","4.99948918733711e-05"
"french_experts","0.800925925925926","one-sample",NA,"8.5794097569124","3.50252936644847","5","0.000177321135303189","0.000461450040833111"
"braille_experts","0.643518518518519","one-sample",NA,"4.48381561958788","1.83051006145192","5","0.00324788776336055","0.00649577552672111"
"french_controls","0.752777777777778","one-sample",NA,"8.57321409974113","2.71108834234519","9","6.34092436006754e-06","4.99948918733711e-05"
"braille_controls","0.520833333333333","one-sample",NA,"1.44860125495422","0.458087938703359","9","0.0906882543484859","0.100764727053873"
