"g1name","g1accuracy","g2name","g2accuracy","ttest","cohen","df","pvalUncorr","pvalFDR"
"french_experts","0.791666666666667","braille_experts","0.822222222222223","-1.08124101180258","-0.545553681707379","4","0.340422370668037","0.340422370668037"
"french_experts","0.791666666666667","french_controls","0.731944444444445","1.14781221642473","0.499838868122373","12.9998963451888","0.271730665162073","0.301922961291192"
"french_experts","0.791666666666667","braille_controls","0.523611111111111","6.96479145915042","3.52323011939859","10.0093194183372","3.85875725153323e-05","9.64689312883308e-05"
"braille_experts","0.822222222222223","french_controls","0.731944444444445","1.90237112419364","0.774815355323665","11.8828197436414","0.0816308865493273","0.116615552213325"
"braille_experts","0.822222222222223","braille_controls","0.523611111111111","9.3224057409464","4.18626188479599","12.8043921334797","4.55583229541363e-07","4.55583229541363e-06"
"french_controls","0.731944444444445","braille_controls","0.523611111111111","7.88140624617065","1.46409606516964","9","2.49350690841928e-05","9.64689312883308e-05"
"french_experts","0.791666666666667","one-sample",NA,"10.1270992655787","4.52897647454442","4","0.000267586818372189","0.000445978030620315"
"braille_experts","0.822222222222223","one-sample",NA,"16.6566292799315","7.44907106918806","4","3.8054722701609e-05","9.64689312883308e-05"
"french_controls","0.731944444444445","one-sample",NA,"5.35255188347904","1.6926255246018","9","0.00023040098396102","0.000445978030620315"
"braille_controls","0.523611111111111","one-sample",NA,"0.924830121179974","0.292456963165825","9","0.18959192201614","0.236989902520175"
