"g1name","g1accuracy","g2name","g2accuracy","ttest","cohen","df","pvalUncorr","pvalFDR"
"french_experts","0.486111111111111","braille_experts","0.430555555555556","1.13592366849413","0.380097966755772","5","0.307485157522796","0.341650175025329"
"french_experts","0.486111111111111","french_controls","0.393939393939394","1.11161211375357","0.552960489193879","11.0070152016311","0.28999570114508","0.341650175025329"
"french_experts","0.486111111111111","braille_controls","0.265151515151515","3.23586177429127","2.05510069803941","6.00668742852394","0.0177511035829686","0.0355022071659372"
"braille_experts","0.430555555555556","french_controls","0.393939393939394","0.522679506910179","0.237100353310802","13.9326023563347","0.609408940342371","0.609408940342371"
"braille_experts","0.430555555555556","braille_controls","0.265151515151515","3.18603735436727","1.89421898635991","6.89321945853891","0.0156806597464971","0.0355022071659372"
"french_controls","0.393939393939394","braille_controls","0.265151515151515","2.3102005924746","0.998443103945449","10","0.0434925445333626","0.072487574222271"
"french_experts","0.486111111111111","one-sample",NA,"3.62441217804537","1.47966007562343","5","0.00757457778785102","0.0310047702048738"
"braille_experts","0.430555555555556","one-sample",NA,"3.78444631330728","1.54499373775997","5","0.00641562276306674","0.0310047702048738"
"french_controls","0.393939393939394","one-sample",NA,"2.80597586327044","0.84603355538742","10","0.00930143106146214","0.0310047702048738"
"braille_controls","0.265151515151515","one-sample",NA,"0.740233210197608","0.223188710507795","10","0.238089294747462","0.340127563924945"
