"g1name","g1accuracy","g2name","g2accuracy","ttest","cohen","df","pvalUncorr","pvalFDR"
"french_experts","0.715277777777778","braille_experts","0.699074074074074","0.36013643670689","0.164223055965796","5","0.733457875394569","0.897174460411307"
"french_experts","0.715277777777778","french_controls","0.707175925925926","0.13221418129223","0.0637319014193232","11.1317101979136","0.897174460411307","0.897174460411307"
"french_experts","0.715277777777778","braille_controls","0.476851851851852","4.60638378684345","2.79362163491774","6.57247190406568","0.00290223061482766","0.00550727375143526"
"braille_experts","0.699074074074074","french_controls","0.707175925925926","-0.202961730560882","-0.0736301804945221","13.2692054473574","0.842244118420525","0.897174460411307"
"braille_experts","0.699074074074074","braille_controls","0.476851851851852","9.7684024664726","3.90942221940177","15.9996199565061","3.80268286757373e-08","3.80268286757373e-07"
"french_controls","0.707175925925926","braille_controls","0.476851851851852","6.53153533813252","2.09916203371735","11","4.24092348070565e-05","0.000141364116023522"
"french_experts","0.715277777777778","one-sample",NA,"4.4651718148465","1.82289876003851","5","0.00330436425086115","0.00550727375143526"
"braille_experts","0.699074074074074","one-sample",NA,"15.5977393773653","6.36775043591025","5","9.84073027060834e-06","4.92036513530417e-05"
"french_controls","0.707175925925926","one-sample",NA,"5.47754418081959","1.58123080364713","11","9.63247782618551e-05","0.000240811945654638"
"braille_controls","0.476851851851852","one-sample",NA,"-1.2292229297361","0.354846094688599","11","0.87768286142055","0.897174460411307"
