"g1name","g1accuracy","g2name","g2accuracy","ttest","cohen","df","pvalUncorr","pvalFDR"
"rw_v_pw","0.486111111111111","one-sample",NA,"-0.362738125055008","0.148087219439774","5","0.634185144362418","0.634185144362418"
"rw_v_nw","0.534722222222222","one-sample",NA,"0.915929131809142","0.373926502247133","5","0.200860145148435","0.234336836006508"
"rw_v_fs","0.673611111111111","one-sample",NA,"1.83407526495035","0.748758091498037","5","0.0630524361338208","0.0988643412233832"
"pw_v_nw","0.534722222222222","one-sample",NA,"1.74607573942394","0.712832435640251","5","0.0706173865881309","0.0988643412233832"
"pw_v_fs","0.6875","one-sample",NA,"1.93948702164277","0.791792260962511","5","0.055071605027002","0.0988643412233832"
"nw_v_fs","0.597222222222222","one-sample",NA,"2.28314825568704","0.932091372259786","5","0.0356285008867174","0.0988643412233832"
"average","0.585648148148148","one-sample",NA,"2.35139940459621","0.959954787124146","5","0.0327231323540934","0.0988643412233832"
