"g1name","g1accuracy","g2name","g2accuracy","ttest","cohen","df","pvalUncorr","pvalFDR"
"french_experts","0.724537037037037","braille_experts","0.719907407407408","0.0950014250320628","0.0577261855144569","5","0.928003557603632","0.928003557603632"
"french_experts","0.724537037037037","french_controls","0.674768518518519","0.997394553528963","0.471086154765125","11.7568253507451","0.338658914996954","0.376287683329949"
"french_experts","0.724537037037037","braille_controls","0.513888888888889","4.73051605484416","2.52158357427357","8.60753645355231","0.00121277262078604","0.00202128770131006"
"braille_experts","0.719907407407408","french_controls","0.674768518518519","1.09304489389137","0.45854594719839","15.414885682247","0.291162209545893","0.363952761932366"
"braille_experts","0.719907407407408","braille_controls","0.513888888888889","5.95115336074136","2.77600251350828","12.1547575282745","6.35703096707676e-05","0.000482483137129169"
"french_controls","0.674768518518519","braille_controls","0.513888888888889","4.88259238076477","1.65844716580869","11","0.000484875254918921","0.0012121881372973"
"french_experts","0.724537037037037","one-sample",NA,"5.85357878219463","2.3897135309265","5","0.00103068877096487","0.00202128770131006"
"braille_experts","0.719907407407408","one-sample",NA,"8.39034063150219","3.42534221922026","5","0.000196992551389301","0.000656641837964336"
"french_controls","0.674768518518519","one-sample",NA,"5.47636317541857","1.58088987675403","11","9.64966274258337e-05","0.000482483137129169"
"braille_controls","0.513888888888889","one-sample",NA,"0.614119578862994","0.177281052085584","11","0.275812922623408","0.363952761932366"
