"g1name","g1accuracy","g2name","g2accuracy","ttest","cohen","df","pvalUncorr","pvalFDR"
"french_experts","0.752314814814815","braille_experts","0.659722222222222","1.84584805050515","1.09854141429521","5","0.124210014586241","0.177442877980344"
"french_experts","0.752314814814815","french_controls","0.731060606060606","0.449265320163213","0.188236247532136","14.953083219403","0.65968339172043","0.65968339172043"
"french_experts","0.752314814814815","braille_controls","0.522727272727273","6.63742702606752","3.2116196335677","11.8956853424375","2.50885205426798e-05","0.000250885205426798"
"braille_experts","0.659722222222222","french_controls","0.731060606060606","-1.25222586661928","-0.587113207839838","12.928079778143","0.232668197431299","0.25852021936811"
"braille_experts","0.659722222222222","braille_controls","0.522727272727273","2.91820295995438","1.6229681027674","8.09340697487105","0.0191047033571932","0.0318411722619886"
"french_controls","0.731060606060606","braille_controls","0.522727272727273","6.56646532762906","1.78660615765899","10","6.33994209312792e-05","0.000256365166475021"
"french_experts","0.752314814814815","one-sample",NA,"9.62681188246042","3.93012949363167","5","0.000102546066590008","0.000256365166475021"
"braille_experts","0.659722222222222","one-sample",NA,"3.88032550132137","1.58413625235778","5","0.0058190417454668","0.0116380834909336"
"french_controls","0.731060606060606","one-sample",NA,"5.86671065728314","1.76887981852613","10","7.89984631290133e-05","0.000256365166475021"
"braille_controls","0.522727272727273","one-sample",NA,"1.00686007419664","0.303579734772697","10","0.168871684006981","0.211089605008726"
