"g1name","g1accuracy","g2name","g2accuracy","ttest","cohen","df","pvalUncorr","pvalFDR"
"french_experts","0.479166666666667","braille_experts","0.506944444444445","-0.323592400845285","-0.211586566337579","5","0.759343207410977","0.843714674901086"
"french_experts","0.479166666666667","french_controls","0.486111111111111","-0.0899809424185356","-0.0439427798126005","10.7506286775241","0.929956845962099","0.929956845962099"
"french_experts","0.479166666666667","braille_controls","0.3125","2.45929054111867","1.42257351831804","7.19408681283299","0.0426078768466712","0.0608683954952446"
"braille_experts","0.506944444444445","french_controls","0.486111111111111","0.32217284947066","0.141598465080957","14.1113455045999","0.7520450984575","0.843714674901086"
"braille_experts","0.506944444444445","braille_controls","0.3125","3.66282727840633","1.9068146288996","9.11566616932104","0.00510120873183054","0.0127530218295763"
"french_controls","0.486111111111111","braille_controls","0.3125","3.86176541288069","1.26203663225226","11","0.00264523791609719","0.00881745972032396"
"french_experts","0.479166666666667","one-sample",NA,"3.72222538705826","1.51959215098773","5","0.00684028060036071","0.0136805612007214"
"braille_experts","0.506944444444445","one-sample",NA,"5.72286608023016","2.33635029380759","5","0.00113941832132926","0.00569709160664628"
"french_controls","0.486111111111111","one-sample",NA,"5.07354813599508","1.46460719103164","11","0.000179292926989417","0.00179292926989417"
"braille_controls","0.3125","one-sample",NA,"2.20654763352536","0.6369754350978","11","0.0247582199427942","0.041263699904657"
