"g1name","g1accuracy","g2name","g2accuracy","ttest","cohen","df","pvalUncorr","pvalFDR"
"rw_v_pw","0.5625","one-sample",NA,"4.39155032826843","1.7928429140016","5","0.00353879896274904","0.0247715927392433"
"rw_v_nw","0.520833333333333","one-sample",NA,"0.3676073110469","0.150075056296915","5","0.364106820007792","0.42479129000909"
"rw_v_fs","0.6875","one-sample",NA,"1.65609892726397","0.676099555894553","5","0.0793019513141551","0.157196964546634"
"pw_v_nw","0.479166666666667","one-sample",NA,"-0.745355992499931","0.304290309725093","5","0.755205127717786","0.755205127717786"
"pw_v_fs","0.652777777777778","one-sample",NA,"1.375","0.561341399387812","5","0.113773904529079","0.15928346634071"
"nw_v_fs","0.645833333333333","one-sample",NA,"1.56786287025783","0.640077336464523","5","0.0888497311027919","0.157196964546634"
"average","0.591435185185185","one-sample",NA,"1.55936576868965","0.636608409275416","5","0.0898268368837908","0.157196964546634"
