"group1","group2","ttest","pvalue"
"french_experts","braille_experts","0.453171741165287","0.66941325782558"
"french_experts","french_controls","0.230477894459391","0.821503764222948"
"french_experts","braille_controls","3.54000074862774","0.0117922550732878"
"braille_experts","french_controls","-0.339540184171025","0.742973988411058"
"braille_experts","braille_controls","1.6285676979958","0.160002640798632"
"french_controls","braille_controls","4.07862968725849","0.00221924249901075"
"french_experts","One-sample","4.7717414775556","0.00500708099032911"
"braille_experts","One-sample","2.28314825568705","0.0712570017734346"
"french_controls","One-sample","4.96563533161421","0.000565299530354723"
"braille_controls","One-sample","3.13049516849969","0.0106814896558277"
