"group1","group2","ttest","pvalue"
"french_experts","braille_experts","5","0.0041047159800533"
"french_experts","french_controls","1.28070175438597","0.232017849100616"
"french_experts","braille_controls","4.99158497790731","0.00228631915525506"
"braille_experts","french_controls","-1.65333534109547","0.124627953219122"
"braille_experts","braille_controls","2.66925383788071","0.031209156331928"
"french_controls","braille_controls","6.90268489962633","7.04583177584576e-05"
"french_experts","One-sample","5.51963562568645","0.00267292892000872"
"braille_experts","One-sample","3.28571428571428","0.0218164398400068"
"french_controls","One-sample","6.24906772707955","0.000149801045215698"
"braille_controls","One-sample","0.738548945875998","0.47899685662438"
