"group1","group2","ttest","pvalue"
"french_experts","braille_experts","-1.12390297389803","0.323940830991844"
"french_experts","french_controls","0.128505881063435","0.899715749555103"
"french_experts","braille_controls","5.89738754116817","0.000130508991364629"
"braille_experts","french_controls","0.918705142445591","0.375023812544886"
"braille_experts","braille_controls","7.1674135250012","1.8235212880344e-05"
"french_controls","braille_controls","6.46398735534967","0.000116226815733985"
"french_experts","One-sample","8.48838215321078","0.00105608798379027"
"braille_experts","One-sample","10.5858682242226","0.000450650952418932"
"french_controls","One-sample","5.5845470519462","0.000340956697829665"
"braille_controls","One-sample","0.49656353316142","0.631398958970629"
