"group1","group2","ttest","pvalue"
"french_experts","braille_experts","-0.323592400845285","0.759343207410977"
"french_experts","french_controls","-0.0899809424185356","0.929956845962099"
"french_experts","braille_controls","2.45929054111867","0.0426078768466712"
"braille_experts","french_controls","0.32217284947066","0.7520450984575"
"braille_experts","braille_controls","3.66282727840633","0.00510120873183054"
"french_controls","braille_controls","3.86176541288069","0.00264523791609719"
"french_experts","One-sample","3.72222538705826","0.0136805612007214"
"braille_experts","One-sample","5.72286608023016","0.00227883664265851"
"french_controls","One-sample","5.07354813599508","0.000358585853978834"
"braille_controls","One-sample","2.20654763352536","0.0495164398855884"
