subject,condition,cluster,x,y
006,fw,french_expert,-0.0657156624762686,-0.0297812499223679
006,fw,french_expert,-0.0664923739820309,-0.0295193120505358
006,fw,french_expert,-0.0587317231070795,-0.0319900527331458
006,fw,french_expert,-0.0145751957164188,-0.0158671962694377
006,fw,french_expert,0.0490063800819845,0.0416223961332189
006,fw,french_expert,0.0891010671957528,0.0887202207628252
006,fw,french_expert,0.0878268474664063,0.0691027691270629
006,fw,french_expert,0.0706132676545929,0.00290647631307141
006,fw,french_expert,0.081258050295143,-0.0370377237260591
006,fw,french_expert,0.0865918331941782,-0.01970796777193
006,fw,french_expert,0.0484165959133834,0.0170795364877163
006,fw,french_expert,-0.028737544301642,0.0108981403016754
006,fw,french_expert,-0.131103873981434,-0.0337515250409488
006,fw,french_expert,-0.220110719360779,-0.0585206876018065
006,fw,french_expert,-0.248956705579753,-0.0435794446722232
006,fw,french_expert,-0.214039682460301,-0.0326700801655209
006,fw,french_expert,-0.182132666341498,-0.0636678674165782
006,fw,french_expert,-0.202348417467775,-0.0979923803192524
006,fw,french_expert,-0.206078717099766,-0.0838663749944586
006,fw,french_expert,-0.147141056108275,-0.0417467774862649
006,fw,french_expert,-0.0968468991404055,-0.0204243417324375
006,fw,french_expert,-0.120279582905846,-0.0278732602186962
006,fw,french_expert,-0.178781099598283,-0.0456260374467487
006,fw,french_expert,-0.199896020738742,-0.0702067993468202
006,fw,french_expert,-0.190166924596324,-0.0921110876179962
006,fw,french_expert,-0.165967438920467,-0.0799050377883691
006,fw,french_expert,-0.138977248605235,-0.0405370181950397
006,fw,french_expert,-0.126957032835367,-0.0222916951576963
006,fw,french_expert,-0.105654874786064,-0.0392980768735624
006,fw,french_expert,-0.0592549980786102,-0.0599384820623976
006,fw,french_expert,-0.0417204926433822,-0.0636353485501072
006,fw,french_expert,-0.0915958940382238,-0.0718289231889046
006,fw,french_expert,-0.147149751301483,-0.104990087903017
006,fw,french_expert,-0.166541375021692,-0.135282061109372
006,fw,french_expert,-0.170970411892945,-0.115381858844836
006,fw,french_expert,-0.170348840579172,-0.0392347371895398
006,fw,french_expert,-0.172944240814915,0.0309295255845373
006,fw,french_expert,-0.146106798962335,0.0377479794768916
006,fw,french_expert,-0.0749235224683841,0.00651216155762094
006,fw,french_expert,-0.0220256691340596,-0.0191972095834858
006,fw,french_expert,0.0221623852464152,0.0153967904280624
006,fw,french_expert,0.2483836531762,0.277730114214502
006,fw,french_expert,0.603961003520061,0.630239569158276
006,fw,french_expert,0.918063216494669,0.971023194063023
006,fw,french_expert,1.16460781675964,1.11525128546147
006,fw,french_expert,1.13081094854578,0.741454826246107
006,fw,french_expert,0.601519467399279,0.144916922037756
006,fw,french_expert,0.0927578840397724,-0.203012086565477
006,fw,french_expert,-0.0868460160790919,-0.298239159940409
006,fw,french_expert,-0.132987175532787,-0.28060247160399
006,fw,french_expert,-0.181878698789911,-0.209217735360417
006,fw,french_expert,-0.195137284146876,-0.106322103232988
006,fw,french_expert,-0.150627013493243,-0.0110808498856863
006,fw,french_expert,-0.0843876374677038,0.0319157603562607
006,fw,french_expert,-0.045199054042227,0.0305003815663436
006,fw,french_expert,-0.0326672298216441,0.0127741774465835
006,fw,french_expert,-0.0286192565765722,-0.0175539654138776
006,fw,french_expert,-0.011196483751213,-0.0194566718467267
006,fw,french_expert,0.0326389605818954,0.0242057249541199
006,fw,french_expert,0.0685650352400014,0.0572051450158134
006,fw,french_expert,0.0679471336664529,0.0398507182277293
006,fw,french_expert,0.307564996450553,0.101960243606493
006,fw,french_expert,0.779084091638624,0.337852506623604
006,fw,french_expert,0.936573524990878,0.629683820321386
006,fw,french_expert,0.508150746301653,0.528495780532575
006,fw,french_expert,-0.34239428103046,-0.0346217907763014
006,fw,french_expert,-0.936072473266378,-0.426194088056002
006,fw,french_expert,-0.856546510529359,-0.42992332446761
006,fw,french_expert,-0.494687378892148,-0.282125869558545
006,fw,french_expert,-0.204466952386025,-0.132612999184612
006,fw,french_expert,-0.0822865171594035,-0.0138372033388517
006,fw,french_expert,-0.0563554686332004,0.037880845080469
006,fw,french_expert,-0.0534001229138828,0.00703386244017969
006,fw,french_expert,-0.056902475269427,-0.0404827727276999
006,fw,french_expert,-0.0619030527814134,-0.0487743982845772
006,fw,french_expert,-0.054018777699485,-0.0471046797450849
006,fw,french_expert,-0.015762010788764,-0.0535379380875103
006,fw,french_expert,0.0302897181003309,-0.0491332120180092
006,fw,french_expert,0.0373301447463312,-0.0321395506060549
006,fw,french_expert,-0.000208585285753057,-0.0189638140286741
006,fw,french_expert,-0.0464584807073028,-0.0235587524384222
006,fw,french_expert,-0.0761741645717205,-0.0436459401626704
006,fw,french_expert,-0.111343801484619,-0.0562198655773808
006,fw,french_expert,-0.14832914595661,-0.0654102639760695
006,fw,french_expert,-0.147168184802395,-0.0997547615094717
006,fw,french_expert,-0.103187892024121,-0.145696363955639
006,fw,french_expert,-0.0398136975174238,-0.156638550797306
006,fw,french_expert,-0.0130591737826141,-0.135155429618833
006,fw,french_expert,-0.0543572838420211,-0.131684231116536
006,fw,french_expert,-0.124818431076245,-0.141449433703285
006,fw,french_expert,-0.188776147399786,-0.119939637939985
006,fw,french_expert,-0.219347028666423,-0.0748778431672783
006,fw,french_expert,-0.203123989943954,-0.0377900700072916
006,fw,french_expert,-0.156204152515085,-0.0151885763838146
006,fw,french_expert,-0.0881693827674213,0.00560811566870855
006,fw,french_expert,0.0274971386594351,0.0345457721640341
006,fw,french_expert,0.131334254159414,0.053589894422029
006,fw,french_expert,0.129976623723268,0.0381376897314412
006,fw,french_expert,0.037066369547213,0.0110329397575905
006,fw,french_expert,-0.0563800176078566,0.0172023444497446
006,fw,french_expert,-0.0739794266072856,0.0558267498035197
006,fw,french_expert,-0.0220356061196544,0.0849934224720307
006,fw,french_expert,0.0250426797378309,0.0723424825205915
006,fw,french_expert,0.0152766362444996,0.0413858559437105
006,fw,french_expert,-0.0180736763076014,0.0412938554999938
006,fw,french_expert,-0.00767012883475082,0.0545806342145213
006,fw,french_expert,0.0473142775295375,0.0363479368491739
006,fw,french_expert,0.0664476089760296,0.0122219374426832
006,fw,french_expert,0.00663450685620952,0.0145298246410367
006,fw,french_expert,-0.0735113021357356,0.0112229628073477
006,fw,french_expert,-0.104847637107337,-0.0324682875875547
006,fw,french_expert,-0.100508025194008,-0.0836776297425602
006,fw,french_expert,-0.0817197814506803,-0.0916362391931692
006,fw,french_expert,-0.0467342781964856,-0.0725761026332489
006,fw,french_expert,-0.0296090340607791,-0.0764955388818118
006,fw,french_expert,-0.0515299315950785,-0.100982445199934
006,fw,french_expert,-0.0767879841648831,-0.104326572887002
006,fw,french_expert,-0.0740269625980448,-0.0841336374847726
006,fw,french_expert,-0.0820054354334168,-0.0507604629936573
006,fw,french_expert,-0.13435651214987,-0.013925856718002
006,fw,french_expert,-0.179686813344838,0.00127185824311077
006,fw,french_expert,-0.170121423369224,-0.00517350517939805
006,fw,french_expert,-0.12114947833703,-0.0100012186491315
006,fw,french_expert,-0.0803720854546424,0.0150068298076139
006,fw,french_expert,-0.0448344393360139,0.0533869587802661
006,fw,french_expert,0.011458118723118,0.0746391116669202
006,fw,french_expert,0.0463499293264041,0.0887245430313993
006,fw,french_expert,0.0409616916738246,0.0747560000410397
006,fw,french_expert,0.137824069105498,0.0365961619336526
006,fw,french_expert,0.338765050161252,0.231102627835549
006,fw,french_expert,0.602811047443554,0.512826854914514
006,fw,french_expert,0.72554290730521,0.508049596187557
006,fw,french_expert,0.555926210051975,0.312333312659961
006,fw,french_expert,0.248951471856145,0.172941736745636
006,fw,french_expert,0.00715926514547213,0.123538255512445
006,fw,french_expert,-0.0880833778790005,0.0777736066010941
006,fw,french_expert,-0.0798953031823348,0.0374725229476185
006,fw,french_expert,-0.0647647364008902,0.00720379121946396
006,fw,french_expert,-0.100617697759597,-0.0107314788095092
006,fw,french_expert,-0.174492960502606,-0.00694111123511045
006,fw,french_expert,-0.244113023573218,-0.00433012213923184
006,fw,french_expert,-0.252348236314145,-0.0360204815583112
006,fw,french_expert,-0.207033481307787,-0.0883122976012906
006,fw,french_expert,-0.194657223528104,-0.120582498318889
006,fw,french_expert,-0.234877020179085,-0.130208706781751
006,fw,french_expert,-0.23711564140397,-0.120628815534842
006,fw,french_expert,-0.174787489908267,-0.0917052704586778
006,fw,french_expert,-0.12139123761228,-0.0622165986447352
006,fw,french_expert,-0.103336073339486,-0.0366507598018741
006,fw,french_expert,-0.102589801052072,-0.0111082120780333
006,fw,french_expert,-0.0891610026170537,-0.00618130590934471
006,fw,french_expert,-0.0580085579122501,-0.0236400569903313
006,fw,french_expert,-0.0354841212479171,-0.0253270851694798
006,fw,french_expert,-0.0222176800064919,-0.00836677938104043
006,fw,french_expert,-0.0192447126764386,0.00527154407466544
006,fw,french_expert,-0.0318151037393805,0.0147217446193184
006,fw,french_expert,-0.0449003706412661,0.0172644800442752
006,fw,french_expert,-0.0906232084424112,0.00421979214702444
006,fw,french_expert,-0.171282105457175,-0.0301246411695401
006,fw,french_expert,-0.230373413295949,-0.0873543059090998
006,fw,french_expert,-0.254888948770502,-0.146147110162498
006,fw,french_expert,-0.238382266357217,-0.161829829633054
006,fw,french_expert,-0.165859085254529,-0.129989001662212
006,fw,french_expert,-0.0766514125165604,-0.103821524716348
006,fw,french_expert,-0.0152880478666097,-0.102072660212485
006,fw,french_expert,0.00819901314044007,-0.0900182349623475
006,fw,french_expert,-0.0183139048487379,-0.0587698420046837
006,fw,french_expert,-0.0856640625598264,-0.0307972439753274
006,fw,french_expert,-0.136041871471659,-0.0214960378226831
006,fw,french_expert,-0.140408219574292,-0.0314820160787579
006,fw,french_expert,-0.113749751604546,-0.0454623018318219
006,fw,french_expert,-0.0788572661644669,-0.0301606863411437
006,fw,french_expert,-0.0575554693183103,0.000939859438652005
006,fw,french_expert,-0.0479692416602106,-0.0120510382733486
006,fw,french_expert,-0.00529597894610089,-0.0718420082542186
006,fw,french_expert,0.034878945008899,-0.0946874948516038
006,fw,french_expert,0.074601204367562,0.0100274409879617
006,fw,french_expert,0.205476921697308,0.334935883434457
006,fw,french_expert,0.0839896876702746,0.409319141883011
006,fw,french_expert,-0.441432680567347,0.151755970627138
006,fw,french_expert,-1.03439051879771,0.0625875028889195
006,fw,french_expert,-1.37629620226463,0.0918259121448924
006,fw,french_expert,-1.32371137119337,-0.0372753545813963
006,fw,french_expert,-0.964872629281553,-0.144606534908771
006,fw,french_expert,-0.476468507961193,-0.162294772488738
006,fw,french_expert,-0.0893693438316241,-0.117943009069065
006,fw,french_expert,0.102384002673383,-0.0544428832162583
006,fw,french_expert,0.134452779332323,-0.0153467078362946
006,fw,french_expert,0.0773560816267625,-0.00954771190649169
006,fw,french_expert,-0.00176531899282538,-0.0165492936855683
006,fw,french_expert,-0.0718996617619713,-0.0151940592542422
006,fw,french_expert,-0.11857938085148,-0.00562458416932465
006,fw,french_expert,-0.132347150963801,-0.00185701468206842
006,fw,french_expert,-0.0839156024324582,-0.0104854286111262
006,fw,french_expert,0.0163264553064653,-0.0360788834728637
006,fw,french_expert,0.0547839238323397,-0.0651563671536773
006,fw,french_expert,-0.0103751171310938,-0.0591194198073485
006,fw,french_expert,-0.0894479562379742,-0.0143194125051385
006,fw,french_expert,-0.101722705536137,0.0272935998895231
006,fw,french_expert,-0.0739893578756879,0.0322010585507392
006,fw,french_expert,-0.0864557954397434,0.0249154199281895
006,fw,french_expert,-0.130086973074541,0.0276381651780728
006,fw,french_expert,-0.128077518700008,0.0129329359829788
006,fw,french_expert,-0.0545359286748601,-0.0121175119440784
006,fw,french_expert,0.00417963046802566,-0.0242179244083874
006,fw,french_expert,-0.014644729658628,-0.0379044356370932
006,fw,french_expert,-0.0605407888494592,-0.0492620093136677
006,fw,french_expert,-0.0832251197348837,-0.0349511158373557
006,fw,french_expert,-0.0814668486606991,-0.0231721622643288
006,fw,french_expert,-0.0627041787764933,-0.0474035339279898
006,fw,french_expert,-0.0439850117686126,-0.0843615600137075
006,fw,french_expert,-0.0382492032872149,-0.102070026874917
006,fw,french_expert,-0.0366448677279121,-0.100040883130898
006,fw,french_expert,-0.0332641909005571,-0.0889124151010092
006,fw,french_expert,-0.0361390401620192,-0.0916257827729058
006,fw,french_expert,-0.0551465511046016,-0.0948799101410998
006,fw,french_expert,-0.079888736668611,-0.0626984696791529
006,fw,french_expert,-0.0927862928711676,0.00484412298783823
006,fw,french_expert,-0.0605083094139088,0.0679084064320777
006,fw,french_expert,-0.00222887615508215,0.084445637173852
006,fw,french_expert,0.0136490634971691,0.0814124121000075
006,fw,french_expert,0.015767908143046,0.103742196755736
006,fw,french_expert,0.0561540943018841,0.135024158931659
