subject,task,run,mask,tSNR
sub-009,wordsDecoding,003,vwfa-roi,82.4494564438322
sub-009,wordsDecoding,004,whole-brain,10.96015634763
sub-009,wordsDecoding,004,vwfa-roi,69.817655155348
sub-009,wordsDecoding,005,whole-brain,15.2297907642782
sub-009,wordsDecoding,005,vwfa-roi,93.3726201759898
sub-009,wordsDecoding,006,whole-brain,15.2425327898335
sub-009,wordsDecoding,006,vwfa-roi,92.6669468905997
sub-009,wordsDecoding,007,whole-brain,14.000908647856
sub-009,wordsDecoding,007,vwfa-roi,88.5134746136601
sub-009,wordsDecoding,008,whole-brain,13.7961406598242
sub-009,wordsDecoding,008,vwfa-roi,87.7869738822936
sub-009,wordsDecoding,009,whole-brain,14.3627385836388
sub-009,wordsDecoding,009,vwfa-roi,84.6361952626608
sub-009,wordsDecoding,010,whole-brain,13.9885018632085
sub-009,wordsDecoding,010,vwfa-roi,84.7284090731489
sub-009,wordsDecoding,011,whole-brain,14.7807546825014
sub-009,wordsDecoding,011,vwfa-roi,88.6719282229135
sub-009,wordsDecoding,012,whole-brain,12.258826091404
sub-009,wordsDecoding,012,vwfa-roi,83.4696980795736
sub-010,visualLocalizer,001,whole-brain,11.0548146496791
sub-010,visualLocalizer,001,vwfa-roi,38.8987278822041
sub-010,wordsDecoding,001,whole-brain,13.5137793873015
sub-010,wordsDecoding,001,vwfa-roi,73.2969601252893
sub-010,wordsDecoding,002,whole-brain,13.3548719778114
sub-010,wordsDecoding,002,vwfa-roi,70.4928897914545
sub-010,wordsDecoding,003,whole-brain,14.8566868211629
sub-010,wordsDecoding,003,vwfa-roi,77.5947966742951
sub-010,wordsDecoding,004,whole-brain,11.0898391112106
sub-010,wordsDecoding,004,vwfa-roi,60.0010818351414
sub-010,wordsDecoding,005,whole-brain,13.6624596867652
sub-010,wordsDecoding,005,vwfa-roi,76.9263922723185
sub-010,wordsDecoding,006,whole-brain,13.837004690946
sub-010,wordsDecoding,006,vwfa-roi,78.5051460692921
sub-010,wordsDecoding,007,whole-brain,13.6036137444766
sub-010,wordsDecoding,007,vwfa-roi,76.4418786314569
sub-010,wordsDecoding,008,whole-brain,12.5705692892673
sub-010,wordsDecoding,008,vwfa-roi,72.4384518102961
sub-010,visualLocalizer,002,whole-brain,10646601716.0719
sub-010,visualLocalizer,002,vwfa-roi,55.4182936368687
sub-010,wordsDecoding,009,whole-brain,15.9257092323488
sub-010,wordsDecoding,009,vwfa-roi,65.500524696448
sub-010,wordsDecoding,010,whole-brain,15.5994707077733
sub-010,wordsDecoding,010,vwfa-roi,65.743928657032
sub-010,wordsDecoding,011,whole-brain,14.9891699452608
sub-010,wordsDecoding,011,vwfa-roi,66.4149608608239
sub-010,wordsDecoding,012,whole-brain,1625020260.88869
sub-010,wordsDecoding,012,vwfa-roi,67.5770398251522
sub-011,visualLocalizer,001,whole-brain,18.5085901855887
sub-011,visualLocalizer,001,vwfa-roi,69.9790109796182
sub-011,visualLocalizer,002,whole-brain,17.0604342950721
sub-011,visualLocalizer,002,vwfa-roi,63.9022382554585
sub-011,wordsDecoding,001,whole-brain,21.6097461277538
sub-011,wordsDecoding,001,vwfa-roi,77.1557544899066
sub-011,wordsDecoding,002,whole-brain,19.6022363849172
sub-011,wordsDecoding,002,vwfa-roi,69.929820579956
sub-011,wordsDecoding,003,whole-brain,16.2733139181996
sub-011,wordsDecoding,003,vwfa-roi,61.951689880587
sub-011,wordsDecoding,004,whole-brain,15057019119.075
sub-011,wordsDecoding,004,vwfa-roi,63.4622371266208
sub-011,wordsDecoding,005,whole-brain,17.059508437277
sub-011,wordsDecoding,005,vwfa-roi,66.4114551721098
sub-011,wordsDecoding,006,whole-brain,15054854537.574
sub-011,wordsDecoding,006,vwfa-roi,56.4601220581101
sub-011,wordsDecoding,007,whole-brain,18.9876294610849
sub-011,wordsDecoding,007,vwfa-roi,70.9382172555849
sub-011,wordsDecoding,008,whole-brain,30128014379.47
sub-011,wordsDecoding,008,vwfa-roi,68.1149257478931
sub-011,wordsDecoding,009,whole-brain,17.186847105779
sub-011,wordsDecoding,009,vwfa-roi,67.2887896460132
sub-011,wordsDecoding,010,whole-brain,17.087911972968
sub-011,wordsDecoding,010,vwfa-roi,72.0745787076873
sub-011,wordsDecoding,011,whole-brain,16.5940697480265
sub-011,wordsDecoding,011,vwfa-roi,70.7448519195288
sub-011,wordsDecoding,012,whole-brain,1627737023.11982
sub-011,wordsDecoding,012,vwfa-roi,69.9145629013143
sub-012,visualLocalizer,001,whole-brain,13.5792176332287
sub-012,visualLocalizer,001,vwfa-roi,59.9664394237456
sub-012,visualLocalizer,002,whole-brain,12.8502446972744
sub-012,visualLocalizer,002,vwfa-roi,57.4317256619591
sub-012,wordsDecoding,001,whole-brain,14.7252245238131
sub-012,wordsDecoding,001,vwfa-roi,61.3631122782582
sub-012,wordsDecoding,002,whole-brain,14.1026054899585
sub-012,wordsDecoding,002,vwfa-roi,61.4798561520652
sub-012,wordsDecoding,003,whole-brain,13.9346721911771
sub-012,wordsDecoding,003,vwfa-roi,54.1788716617229
sub-012,wordsDecoding,004,whole-brain,12.4655395636633
sub-012,wordsDecoding,004,vwfa-roi,55.5375813733254
sub-012,wordsDecoding,005,whole-brain,12.4187352386291
