subject,group,area,condition,mean_activation
sub-019,control,lPosTemp,sbw,-1.56742196259829
sub-020,control,lPosTemp,bw,-1.46719209166865
sub-020,control,lPosTemp,sbw,-1.59008820798896
sub-021,control,lPosTemp,bw,-1.16330599766011
sub-021,control,lPosTemp,sbw,-0.826771490540379
sub-022,control,lPosTemp,bw,-0.470932064061086
sub-022,control,lPosTemp,sbw,0.193920164481231
sub-023,control,lPosTemp,bw,0.0845402366821728
sub-023,control,lPosTemp,sbw,1.22772493964386
sub-024,control,lPosTemp,bw,0.585303693112325
sub-024,control,lPosTemp,sbw,-0.25201726265421
sub-027,control,lPosTemp,bw,-2.43549327292164
sub-027,control,lPosTemp,sbw,-1.21227681034356
sub-028,control,lPosTemp,bw,-5.57321665289173
sub-028,control,lPosTemp,sbw,-5.55795939899914
sub-006,expert,V1,bw,7.00835715344659
sub-006,expert,V1,sbw,4.13830208668002
sub-007,expert,V1,bw,5.78861363131157
sub-007,expert,V1,sbw,5.15339441832169
sub-008,expert,V1,bw,10.0542952388224
sub-008,expert,V1,sbw,9.32489446798208
sub-009,expert,V1,bw,7.79220616276601
sub-009,expert,V1,sbw,7.15933351286038
sub-012,expert,V1,bw,5.96937253204259
sub-012,expert,V1,sbw,4.50532000922852
sub-013,expert,V1,bw,10.4673523426056
sub-013,expert,V1,sbw,8.33500964552164
sub-010,control,V1,bw,8.49918979749535
sub-010,control,V1,sbw,7.62427525060872
sub-011,control,V1,bw,6.53693259331618
sub-011,control,V1,sbw,6.62609436940611
sub-018,control,V1,bw,7.59946371449365
sub-018,control,V1,sbw,8.11694152885013
sub-019,control,V1,bw,5.80836685976588
sub-019,control,V1,sbw,5.71914158615851
sub-020,control,V1,bw,8.07403790919731
sub-020,control,V1,sbw,7.8272695975999
sub-021,control,V1,bw,7.41907534979676
sub-021,control,V1,sbw,8.48654703733168
sub-023,control,V1,bw,3.4103824402426
sub-023,control,V1,sbw,4.19336910801762
sub-024,control,V1,bw,6.53915617539494
sub-024,control,V1,sbw,7.1884314268171
sub-026,control,V1,bw,7.17847916086515
sub-026,control,V1,sbw,5.51995531704277
sub-027,control,V1,bw,3.22022034205772
sub-027,control,V1,sbw,2.77027628874337
sub-028,control,V1,bw,9.14412759447098
sub-028,control,V1,sbw,8.70527756723575
